Time,Open,High,Low,Close,Volume
2019-11-14 0:00:00,27786.47,27793.969,27760.47,27765.97,53
2019-11-14 1:00:00,27818.97,27823.47,27818.469,27821.97,2
2019-11-14 2:00:00,27821.97,27821.97,27740.969,27767.97,60
2019-11-14 3:00:00,27767.97,27780.97,27758.47,27764.97,60
2019-11-14 4:00:00,27765.47,27777.47,27749.47,27775.969,60
2019-11-14 5:00:00,27776.969,27796.47,27775.969,27785.47,60
2019-11-14 6:00:00,27785.47,27785.47,27751.47,27754.97,60
2019-11-14 7:00:00,27755.469,27778.47,27731.47,27768.469,60
2019-11-14 8:00:00,27768.47,27783.07,27739.07,27749.57,60
2019-11-14 9:00:00,27750.069,27764.07,27731.57,27756.57,60
2019-11-14 10:00:00,27757.069,27806.57,27751.07,27765.57,60
2019-11-14 11:00:00,27765.57,27773.569,27741.07,27773.069,60
2019-11-14 12:00:00,27773.069,27784.07,27750.07,27761.07,60
2019-11-14 13:00:00,27761.07,27768.069,27734.069,27751.569,60
2019-11-14 14:00:00,27751.569,27792.67,27739.57,27768.67,60
2019-11-14 15:00:00,27767.669,27793.67,27737.669,27740.669,60
2019-11-14 16:00:00,27740.669,27781.67,27675.67,27708.669,60
2019-11-14 17:00:00,27708.669,27755.17,27704.67,27751.169,60
2019-11-14 18:00:00,27751.169,27762.17,27673.67,27721.669,60
2019-11-14 19:00:00,27723.17,27769.67,27709.67,27768.67,60
2019-11-14 20:00:00,27768.67,27791.169,27755.67,27783.669,60
2019-11-14 21:00:00,27783.669,27798.67,27781.67,27787.169,15
2019-11-14 23:00:00,27775.47,27791.97,27765.06,27788.969,60
2019-11-15 0:00:00,27788.969,27873.97,27776.969,27869.47,60
2019-11-15 1:00:00,27869.47,27879.469,27857.469,27862.469,60
2019-11-15 2:00:00,27862.469,27895.47,27856.47,27888.469,60
2019-11-15 3:00:00,27888.469,27889.469,27864.469,27871.47,60
2019-11-15 4:00:00,27870.47,27874.469,27864.47,27869.97,60
2019-11-15 5:00:00,27870.47,27876.47,27866.969,27873.469,58
2019-11-15 6:00:00,27873.469,27882.47,27866.469,27876.47,59
2019-11-15 7:00:00,27876.47,27877.47,27855.97,27857.469,60
2019-11-15 8:00:00,27858.469,27868.07,27838.07,27848.069,60
2019-11-15 9:00:00,27847.57,27873.07,27845.069,27863.07,60
2019-11-15 10:00:00,27863.07,27871.07,27829.069,27834.069,60
2019-11-15 11:00:00,27834.569,27847.569,27827.07,27842.07,60
2019-11-15 12:00:00,27843.07,27870.07,27839.069,27856.569,60
2019-11-15 13:00:00,27856.569,27882.57,27847.069,27876.07,60
2019-11-15 14:00:00,27876.07,27896.669,27852.17,27859.669,60
2019-11-15 15:00:00,27859.669,27907.67,27852.669,27900.669,60
2019-11-15 16:00:00,27901.17,27952.67,27899.669,27927.67,60
2019-11-15 17:00:00,27927.67,27944.67,27922.17,27924.67,60
2019-11-15 18:00:00,27924.67,27925.17,27907.669,27920.669,60
2019-11-15 19:00:00,27920.669,27975,27917.669,27971.67,60
2019-11-15 20:00:00,27972.67,27999.169,27945.669,27998.669,60
2019-11-15 21:00:00,27999.67,27999.67,27975.169,27978.669,15
2019-11-17 23:00:00,27983.47,27983.47,27955.469,27961.469,60
2019-11-18 0:00:00,27961.969,27972.47,27954.969,27964.97,60
2019-11-18 1:00:00,27964.97,27988.969,27958.97,27983.47,60
2019-11-18 2:00:00,27983.969,27991.47,27971.969,27986.469,60
2019-11-18 3:00:00,27986.469,27992.969,27981.47,27982.47,60
2019-11-18 4:00:00,27981.469,27982.47,27972.47,27976.47,58
2019-11-18 5:00:00,27976.47,27992.47,27970.969,27991.97,59
2019-11-18 6:00:00,27991.97,28000.47,27987.97,27991.469,59
2019-11-18 7:00:00,27991.469,28086.969,27989.469,28051.47,60
2019-11-18 8:00:00,28051.47,28071.07,28033.569,28037.07,60
2019-11-18 9:00:00,28037.07,28051.07,28033.07,28045.57,60
2019-11-18 10:00:00,28045.57,28055.07,28040.569,28042.069,60
2019-11-18 11:00:00,28042.069,28062.57,28036.07,28054.07,60
2019-11-18 12:00:00,28054.07,28075.07,28050.57,28073.07,60
2019-11-18 13:00:00,28072.57,28073.07,27971.07,27995.069,60
2019-11-18 14:00:00,27994.07,28019.67,27963.67,28004.67,60
2019-11-18 15:00:00,28004.67,28028.67,27974.669,27998.669,60
2019-11-18 16:00:00,27998.669,28026.17,27979.669,28015.669,60
2019-11-18 17:00:00,28015.669,28025.67,27997.669,28024.669,60
2019-11-18 18:00:00,28024.669,28042.67,28011.669,28035.669,60
